FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
Group A/Brasov Challenger 2014/Second Round Matches/Fortuna v J Pospisil,622,36461.98,40967.7044,13030.98,04-09-2014 12:20:33,,
Group A/Brasov Challenger 2014/Second Round Matches/G Melzer v Rufin,5015,381290.32,324177.87440000003,315131.7628,04-09-2014 10:14:03,,
Group A/Brasov Challenger 2014/Second Round Matches/Grigelis v R Marcora,1169,103919.62,107614.384,32768.9594,04-09-2014 13:26:29,,
Group A/Brasov Challenger 2014/Second Round Matches/Luncanu v Buchanan,2642,224915.18,90957.851,237503.2824,04-09-2014 15:16:21,,
Group A/Brasov Challenger 2014/Second Round Matches/Sikora v Bourgue,1562,67257.14,83497.0708,29058.0812,04-09-2014 10:47:17,,
Group A/Brasov Challenger 2014/Semi Final Matches/A Haider-Maurer v J Pospisil,6772,711841.84,712917.2674,386321.1632,06-09-2014 12:44:19,,
Group A/Brasov Challenger 2014/Semi Final Matches/Karatsev v Rufin,3191,217242.52,257110.6142,44959.2326,06-09-2014 10:48:15,,
Group A/Brasov Challenger 2014/The Final/A Haider-Maurer v Rufin,2386,338541.62,387955.2726,102435.1146,07-09-2014 14:17:36,,
Group A/Coupe Banque Nationale 2014/Qualifying Matches/B Pera v S Crawford,942,133647.22,141556.716,19001.5036,06-09-2014 15:10:47,,
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Chirico v Chi Scholl,335,40296.74,41744.2836,24622.3634,06-09-2014 14:59:38,,
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Chirico v S Crawford,1519,150532.36,145498.41580000002,101049.9026,07-09-2014 18:13:09,,
Group A/Coupe Banque Nationale 2014/Qualifying Matches/El Tabakh v Molnar,535,68518.85,70811.5504,12941.338,06-09-2014 17:33:56,,
Group A/Coupe Banque Nationale 2014/Qualifying Matches/El Tabakh v Muhammad,2361,133559.92,138494.9822,71462.861,07-09-2014 17:52:31,,
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Elie v Martincova,256,10848.18,10829.6242,27980.6354,06-09-2014 17:42:09,,
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Hibino v Broomfield,812,138277.77,140452.7288,48744.042,06-09-2014 21:13:40,,
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Hibino v Marand,953,71626.56,76379.0604,54307.662,07-09-2014 19:14:04,,
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Kinard v Marand,2421,99468.46,101739.027,62220.4086,06-09-2014 21:56:08,,
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Krejcikova v Lao,1162,64156.62,69334.631,15782.6,06-09-2014 23:26:11,,
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Krejcikova v Mar Sanchez,3938,294742.0,354630.8034,64020.233,07-09-2014 21:23:20,,
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Melichar v C Zhao,1907,150189.07,97885.4336,134896.0586,06-09-2014 19:52:35,,
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Patrascu v Muhammad,529,84720.0,87142.103,14770.574,06-09-2014 16:06:52,,
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Petrick v Mar Sanchez,1304,239227.54,245251.3096,58530.6198,06-09-2014 22:56:07,,
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Savchuk v C Zhao,7489,532322.9,614055.5902,258137.13640000002,07-09-2014 19:14:44,,
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Savchuk v D Muresan,330,45146.86,46190.0124,6598.988,06-09-2014 18:33:26,,
