FULL_DESCRIPTION,SPORTS_ID,EVENT_ID,SETTLED_DATE,SCHEDULED_OFF,EVENT,DT ACTUAL_OFF,SELECTION_ID,SELECTION,ODDS,NUMBER_BETS,VOLUME_MATCHED,LATEST_TAKEN,FIRST_TAKEN,WIN_FLAG,IN_PLAY
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Petrick v Mar Sanchez,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Savchuk v C Zhao,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Savchuk v D Muresan,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Vankova v A Mueller,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Vankova v Martincova,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438
Group A/Genova Challenger 2014/First Round Matches/And Beck v Gaio,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
Group A/Genova Challenger 2014/First Round Matches/Arnaboldi v Al Bedene,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272
Group A/Genova Challenger 2014/First Round Matches/Cecchinato v Basilashvili,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
Group A/Genova Challenger 2014/First Round Matches/Dzumhur v Kovalik,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194
Group A/Genova Challenger 2014/First Round Matches/Galovic v M Delic,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
Group A/Genova Challenger 2014/First Round Matches/Giannessi v Andreozzi,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Group A/Genova Challenger 2014/First Round Matches/Hajek v Mager,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
Group A/Genova Challenger 2014/First Round Matches/Ignatik v Volandri,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296
Group A/Genova Challenger 2014/First Round Matches/Kubler v G Elias,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191
Group A/Genova Challenger 2014/First Round Matches/Mat Trevisan v Naso,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
Group A/Genova Challenger 2014/First Round Matches/Montanes v Fucsovics,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Group A/Genova Challenger 2014/First Round Matches/P Sousa v Paire,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Group A/Genova Challenger 2014/First Round Matches/Ramos-Vinolas v Ad Virgili,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260
Group A/Genova Challenger 2014/First Round Matches/Setkic v Picco,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
Group A/Genova Challenger 2014/First Round Matches/Starace v Lindell,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259
Group A/Genova Challenger 2014/First Round Matches/Troicki v Du Brown,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285
Group A/Genova Challenger 2014/Quarter Final Matches/And Beck v Cecchinato,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290
Group A/Genova Challenger 2014/Quarter Final Matches/Fucsovics v Kubler,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493
Group A/Genova Challenger 2014/Quarter Final Matches/M Delic v Troicki,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462
Group A/Genova Challenger 2014/Quarter Final Matches/Ramos-Vinolas v Al Bedene,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
Group A/Genova Challenger 2014/Second Round Matches/And Beck v Lindell,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215
Group A/Genova Challenger 2014/Second Round Matches/Cecchinato v Paire,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312
Group A/Genova Challenger 2014/Second Round Matches/Dzumhur v M Delic,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332
Group A/Genova Challenger 2014/Second Round Matches/Fucsovics v Andreozzi,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332
Group A/Genova Challenger 2014/Second Round Matches/Hajek v Al Bedene,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157
Group A/Genova Challenger 2014/Second Round Matches/Ignatik v Kubler,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316
Group A/Genova Challenger 2014/Second Round Matches/Mat Trevisan v Troicki,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382
Group A/Genova Challenger 2014/Second Round Matches/Ramos-Vinolas v Setkic,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
Group A/Genova Challenger 2014/Semi Final Matches/And Beck v M Delic,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375
