SPORTS_ID,FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY,LATITUDE,LONGITUDE,TEMPERATURE,RAIN
American Football,NFL Season 2014/15/Week 1/Games 07 September/Jacksonville @ Philadelphia,2287,93143.0,88167.6258,87274.0988,7/9/14 20:36,USA,"Philadelphia, PA",39.9527237,-75.1635262,26.0,0
American Football,NFL Season 2014/15/Week 1/Games 07 September/Minnesota @ St Louis,1316,41779.98,50227.1278,29005.0604,7/9/14 20:06,USA,"St Louis, Missouri",38.6280278,-90.1910154,24.3,0
American Football,NFL Season 2014/15/Week 1/Games 07 September/New England @ Miami,8070,760930.76,493519.7553,796981.4813,7/9/14 20:23,USA,"Miami, FL",25.7741728,-80.19362,29.5,1
American Football,NFL Season 2014/15/Week 1/Games 07 September/New Orleans @ Atlanta,3190,147746.04,115142.6694,163811.068,7/9/14 20:26,USA,"Atlanta, GA",33.7489924,-84.3902644,28.0,1
American Football,NFL Season 2014/15/Week 1/Games 07 September/Oakland @ New York Jets,1174,41772.66,36183.416,47200.9814,7/9/14 20:10,USA,"East Rutherford, NJ",40.833989,-74.0970865,26.0,0
American Football,NFL Season 2014/15/Week 1/Games 07 September/San Francisco @ Dallas,8837,1210087.44,1380871.586,517178.7812,7/9/14 23:30,USA,"Dallas, TX",32.7762719,-96.7968559,31.0,0
American Football,NFL Season 2014/15/Week 1/Games 07 September/Tennessee @ Kansas City,1383,68178.68,56992.3022,68597.5748,7/9/14 20:34,USA,"Kansas City, Missouri",39.100105,-94.5781416,23.9,0
American Football,NFL Season 2014/15/Week 1/Games 07 September/Washington @ Houston,980,41700.54,44741.5326,27600.4034,7/9/14 20:15,USA,"Houston, TX",29.7589382,-95.3676974,31.3,0
Basketball,Asean Basketball League 2014/Fixtures 03 September/Indonesia Warriors v Singapore Slingers,63,4331.36,3540.4626,1421.2626,3/9/14 13:51,Thailand,"	Din Daeng, Bangkok",13.760352,100.5550843,26.7,0
Basketball,Asean Basketball League 2014/Fixtures 03 September/Laskar Dreya v Bangkok City,40,913.0,905.965,42.5584,3/9/14 14:02,Thailand,"	Din Daeng, Bangkok",13.760352,100.5550843,26.7,0
Basketball,Asean Basketball League 2014/Fixtures 05 September/Malaysia Dragons v Laskar Dreya,81,7056.3,7249.2908,413.75,5/9/14 13:53,Malaysia,Kuala Lumpur,3.1516964,101.6942371,25.5,0
Basketball,Asean Basketball League 2014/Fixtures 06 September/Indonesia Warriors v Bangkok City,288,6905.98,6859.1148,3237.946,6/9/14 10:51,Malaysia,Kuala Lumpur,3.1516964,101.6942371,29.4,0
Basketball,Asean Basketball League 2014/Fixtures 07 September/Saigon Heat v Malaysia Dragons,305,11263.3,7186.3722,9446.9928,7/9/14 13:07,Malaysia,Kuala Lumpur,3.1516964,101.6942371,26.8,1
Basketball,Club Friendlies 2014/Fixtures 05 September/Bourg en Bresse v Strasbourg,36,626.88,638.6334,18.256,5/9/14 20:47,France,Bourg-en-Bresse,46.2051192,5.2250324,19.6,0
Basketball,Club Friendlies 2014/Fixtures 05 September/Chalon Saone v Lyon,48,592.2,521.9648,235.5474,5/9/14 18:12,France,Chalon-sur-Saone,46.7888997,4.8529605,23.9,0
Basketball,Club Friendlies 2014/Fixtures 05 September/Prostejov v Svitavy,24,308.72,313.7342,62.88,5/9/14 18:38,Czech Republic,Prostejov,49.4721467,17.1117979,19.1,0
Basketball,Club Friendlies 2014/Fixtures 05 September/Rouen v Le Havre,35,1085.52,1079.5874,327.4612,5/9/14 17:57,France,Rouen,49.4404591,1.0939658,20.2,0
Basketball,Club Friendlies 2014/Fixtures 06 September/AENK v Apollon Patras,39,684.66,879.5172,101.0682,6/9/14 17:40,Greence,Kifisia,38.07438,23.81106,24.1,0
Basketball,Club Friendlies 2014/Fixtures 06 September/Brose v Artland,19,394.36,368.814,33.3336,6/9/14 19:33,Germany,Bamberg,49.8916044,10.8868478,18.5,0
Basketball,Club Friendlies 2014/Fixtures 06 September/Gottingen v Bayern Munchen,16,313.6,286.4388,33.3336,6/9/14 19:32,Germany,Gottingen,51.5328328,9.9351811,18.1,0
Basketball,Club Friendlies 2014/Fixtures 06 September/Phoenix Hagen v Bonn,22,847.04,626.092,710.1514,6/9/14 16:55,Germany,Hagen,51.3582945,7.473296,21.4,1
Basketball,FIBA Basketball World Cup 2014/Fixtures 01 September/Argentina v Philippines,4868,486304.56,539535.7418,129177.0542,1/9/14 17:12,Spain, Madrid,40.4167047,-3.7035825,34.2,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 01 September/Brazil v Spain,2868,220997.76,222045.2622,114963.4334,1/9/14 21:37,Spain, Madrid,40.4167047,-3.7035825,29.4,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 01 September/Croatia v Senegal,7018,464904.28,325104.1002,472035.4092,1/9/14 12:32,Spain, Madrid,40.4167047,-3.7035825,32.2,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 01 September/France v Egypt,1082,128153.62,132320.6174,23692.9186,1/9/14 17:46,Spain, Madrid,40.4167047,-3.7035825,33.9,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 01 September/Iran v Serbia,3747,362316.07,372049.7973,243230.063,1/9/14 15:25,Spain, Madrid,40.4167047,-3.7035825,33.9,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 01 September/Puerto Rico v Greece,3347,354413.59,368057.2709,123017.4426,1/9/14 20:09,Spain, Madrid,40.4167047,-3.7035825,32.1,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 02 September/Angola v Mexico,3897,251160.48,248421.7724,163162.6752,2/9/14 13:17,Spain, Madrid,40.4167047,-3.7035825,33.9,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 02 September/Australia v Lithuania,8007,608689.45,676425.0294,284187.3196,2/9/14 17:18,Spain, Madrid,40.4167047,-3.7035825,35.8,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 02 September/Finland v Dominican Republic,5953,527269.27,523823.9908,228445.791,2/9/14 21:31,Spain, Madrid,40.4167047,-3.7035825,29.0,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 02 September/South Korea v Slovenia,3367,480500.39,489803.6627,197042.7536,2/9/14 19:48,Spain, Madrid,40.4167047,-3.7035825,32.0,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 02 September/USA v New Zealand,2005,285463.45,272822.4372,328870.002,2/9/14 17:16,Spain, Madrid,40.4167047,-3.7035825,35.8,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 02 September/Ukraine v Turkey,4644,355487.71,328256.2397,223346.69,2/9/14 14:35,Spain, Madrid,40.4167047,-3.7035825,35.6,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 03 September/Dominican Republic v USA,1826,118840.36,119661.0866,449422.2388,3/9/14 21:12,Spain, Madrid,40.4167047,-3.7035825,27.5,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 03 September/Egypt v Iran,1660,169437.32,178720.244,69865.289,3/9/14 15:14,Spain, Madrid,40.4167047,-3.7035825,32.9,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 03 September/Greece v Croatia,3475,768960.38,862140.6004,177114.719,3/9/14 19:45,Spain, Madrid,40.4167047,-3.7035825,29.0,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 03 September/Lithuania v South Korea,1170,302960.29,305731.7317,93604.334,3/9/14 19:37,Spain, Madrid,40.4167047,-3.7035825,29.0,0
