FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
Azerbaijan Soccer/Azerbaijan I Divizion/Fixtures 06 September/Qaradag Lokbatan FK v FK Energetik Mingecevir,387,4471.51,4373.3655,5829.1696,6/9/14 14:24,Azerbaijan,Baku
Azerbaijan Soccer/Azerbaijan I Divizion/Fixtures 07 September/Zira IK v FK MOIK Baku,821,10836.51,11200.1185,11195.924,7/9/14 13:39,Azerbaijan,Baku
Azerbaijan Soccer/Euro U21 Championship Qualifiers/Fixtures 03 September/Azerbaijan U21 v Israel U21/Asian Handicap,65,14847.84,1809.8508,27626.1606,,Azerbaijan,Baku
Azerbaijan Soccer/Euro U21 Championship Qualifiers/Fixtures 03 September/Azerbaijan U21 v Israel U21/Total Goals,32,4506.1,6137.6058,5964.0586,,Azerbaijan,Baku
Belarus U21 v Liechtenstein U21/Asian Handicap,4,288.72,22.72,1047.2448,,Belarus,Barysaw
Belarus U21 v Liechtenstein U21/Belarus U21 Total Goals,8,262.84,285.2684,403.1514,,Belarus,Barysaw
Belarus U21 v Liechtenstein U21/Liechtenstein U21 Total Goals,52,769.98,0,5779.9272,,Belarus,Barysaw
Belarus U21 v Liechtenstein U21/Total Goals,26,1061.38,1439.6464,773.4562,,Belarus,Barysaw
Belarusian Soccer/Belarusian 1st Division/Fixtures 06 September/FK Byaroza 2010 v Vitebsk,117,1082.76,1091.8192,2753,6/9/14 13:52,Belarus,Barysaw
Belarusian Soccer/Belarusian 1st Division/Fixtures 06 September/FK Zorka BDU Minsk v FC Smolevichi STI,267,1477.28,1351.4572,3396.1974,6/9/14 10:54,Belarus,Barysaw
Belgian Soccer/Belgian Second Division/Fixtures 02 September / Sint Truiden v Oud-Heverlee Leuven,6518,172611.17,172993.826,211776.18,2/9/14 19:38,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 03 September / Woluwe-Zaventem v Dessel Sport,8440,300664.55,226766.983,459245.4104,3/9/14 18:11,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Antwerp v RC Mechelen,5508,184606.94,160797.399,268661.787,3/9/14 20:23,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Antwerp v RC Mechelen/Asian Handicap,34,1007.48,349.9168,1753.3514,,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Eupen v Eendracht Aalst,3528,89079.54,87759.4962,116854.5812,3/9/14 20:24,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Eupen v Eendracht Aalst/Asian Handicap,16,1420.22,540.5778,1745.4822,,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Heist v Mons,3019,76960.96,68416.0358,117892.6006,3/9/14 20:19,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Patro Eisden v Seraing Utd,2425,42037.1,51549.1564,72911.7104,3/9/14 20:00,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Patro Eisden v Seraing Utd/Asian Handicap,44,1525.14,2308.5806,576.4664,,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Roeselare v Excelsior Virton,3371,65410.46,57699.7214,119494.3712,3/9/14 19:43,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Roeselare v Excelsior Virton/Asian Handicap,32,451.7,331.2212,631.198,,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Sint Truiden v Oud-Heverlee Leuven/Asian Handicap,70,3157.18,5489.0308,1205.925,,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Verbroedering Geel v Lommel Utd,3244,61794.55,61505.1021,84970.562,3/9/14 20:20,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 03 September/White Star Bruxelles v Tubize,2611,47261.14,45234.0588,67831.9864,3/9/14 20:26,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 03 September/White Star Bruxelles v Tubize/Asian Handicap,4,22.7,9.1464,72.0272,,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 03 September/Woluwe-Zaventem v Dessel Sport/Asian Handicap,42,2855.84,94.817,4222.892,,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Dessel Sport v Antwerp,6886,223655.17,211442.4985,264812.4446,6/9/14 19:15,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Dessel Sport v Antwerp/Asian Handicap,25,3029.02,6063.2616,18.7148,,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Excelsior Virton v Verbroedering Geel,2768,63848.5,67399.3118,72352.8224,6/9/14 19:51,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Excelsior Virton v Verbroedering Geel/Asian Handicap,4,199.2,308.39,0,,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Lommel Utd v Woluwe-Zaventem,956,29122.01,30881.5904,31573.6364,6/9/14 19:51,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Lommel Utd v Woluwe-Zaventem/Asian Handicap,28,990.64,2038.084,17.4792,,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Mons v Roeselare,2510,60139.45,61747.0531,93039.0218,6/9/14 19:49,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Mons v Roeselare/Asian Handicap,9,132.14,241.368,9.2722,,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Oud-Heverlee Leuven v White Star Bruxelles,2665,79626.5,93897.5616,121994.8468,6/9/14 19:52,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Oud-Heverlee Leuven v White Star Bruxelles/Asian Handicap,8,186.5,92.0112,253.9316,,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 06 September/RC Mechelen v Eupen/Asian Handicap,2,50.18,231.3298,0,,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Seraing Utd v Heist,2561,47583.59,50766.7197,59905.2394,6/9/14 18:46,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Seraing Utd v Heist/Asian Handicap,34,1183.58,799.9848,1331.2944,,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Tubize v Patro Eisden,1937,46665.22,59003.2826,53702.166,6/9/14 19:53,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 06 September/Tubize v Patro Eisden/Asian Handicap,4,8.72,7.1676,8.568,,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 07 September / RC Mechelen v Eupen,3333,68371,75167.7334,101580.6346,7/9/14 14:18,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 07 September/Eendracht Aalst v Sint Truiden,2677,81363.39,82915.1121,87162.3632,7/9/14 14:45,Belgium,Brussels
Belgian Soccer/Belgian Second Division/Fixtures 07 September/Eendracht Aalst v Sint Truiden/Asian Handicap,2,4.76,0,7.9968,,Belgium,Brussels
Belgian Soccer/Beloften Pro League/Fixtures 01 September/Cercle Brugge (Y) v Zulte-Waregem (Y),1335,23375.36,24436.2034,24703.0088,1/9/14 19:29,Belgium,Brussels
Belgian Soccer/Beloften Pro League/Fixtures 01 September/Genk (Y) v KSC Lokeren (Y),807,12746.52,12273.775,15046.9838,1/9/14 19:19,Belgium,Brussels
Belgian Soccer/Beloften Pro League/Fixtures 01 September/Gent (Y) v Standard Liege (Y),1142,43155.56,46146.2628,27346.5286,1/9/14 19:20,Belgium,Brussels
Belgian Soccer/Beloften Pro League/Fixtures 01 September/KV Kortrijk (Y) v Club Brugge (Y),617,10234.1,11058.1482,13615.321,1/9/14 18:03,Belgium,Brussels
Belgian Soccer/Beloften Pro League/Fixtures 01 September/KV Oostende (Youth) v Waasland-Beveren (Y),623,16964.72,22011.8702,16878.8162,1/9/14 19:14,Belgium,Brussels
Belgian Soccer/Beloften Pro League/Fixtures 01 September/KVC Westerlo (Youth) v KV Mechelen (Y),887,16574.58,19617.5608,10158.0846,1/9/14 20:10,Belgium,Brussels
Belgian Soccer/Beloften Pro League/Fixtures 01 September/Lierse (Y) v Charleroi (Y),1146,29136.8,27494.9992,27151.2034,1/9/14 19:20,Belgium,Brussels
Belgian Soccer/Beloften Pro League/Fixtures 03 September/Anderlecht (Y) v Genk (Y),1678,31668.91,23707.5514,34259.9659,3/9/14 19:21,Belgium,Brussels
Belgian Soccer/International Friendly/Fixtures 04 September/Belgium v Australia/Asian Handicap,194,17872.24,21431.6246,7451.2678,,Belgium,Brussels
Belgian Soccer/International Friendly/Fixtures 04 September/Belgium v Australia/Australia Total Goals,27,1077.46,0,2139.031,,Belgium,Brussels
Belgian Soccer/International Friendly/Fixtures 04 September/Belgium v Australia/Belgium Total Goals,20,1142.88,1940.2138,495.9256,,Belgium,Brussels
Belgian Soccer/International Friendly/Fixtures 04 September/Belgium v Australia/Total Goals,53,14255.94,12885.2994,27581.5272,,Belgium,Brussels
Bolivian Soccer/Bolivian Liga Nacional A/Fixtures 01 September/Oriente Petrolero v Blooming,2273,34955.12,33544.2258,49487.3874,1/9/14 1:00,Bolivia,La Paz
Brazilian Soccer/Brazilian Cup/Fixtures 02 September/ABC v Vasco da Gama,16937,358272.79,346984.224,602865.8941,3/9/14 0:23,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 02 September/ABC v Vasco da Gama/Asian Handicap,12,2245.58,2463.1746,2431.3866,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 02 September/ABC v Vasco da Gama/Total Goals,7,76.86,0,1090.5208,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 03 September/Atletico PR v America RN,2146,49523.74,56088.5532,109106.4206,4/9/14 0:30,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 03 September/Atletico PR v America RN/Asian Handicap,12,317.46,437.4068,118.7408,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 03 September/Atletico PR v America RN/Total Goals,8,761.92,0,2108.363,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 03 September/Santa Rita v Cruzeiro,14467,306581.49,339832.6034,337366.7228,4/9/14 0:22,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 03 September/Santa Rita v Cruzeiro/Asian Handicap,7,130.14,47.0112,220.4584,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 03 September/Santa Rita v Cruzeiro/Total Goals,15,645.02,30.9584,1603.4382,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Ceara v Botafogo RJ,6844,140286.24,130235.9346,200906.218,4/9/14 3:18,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Ceara v Botafogo RJ/Asian Handicap,16,889.14,0,1624.1674,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Ceara v Botafogo RJ/Total Goals,13,130.76,415.0074,0,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Corinthians v Bragantino SP,6136,156518.19,143947.0852,278732.8166,4/9/14 2:55,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Corinthians v Bragantino SP/Asian Handicap,30,639.32,1055.4836,121.7406,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Corinthians v Bragantino SP/Total Goals,7,429.42,33.6296,8123.2704,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Flamengo v Coritiba,8079,210408.02,256852.628,252266.8964,4/9/14 2:44,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Flamengo v Coritiba/Asian Handicap,19,535.06,113.8716,1793.206,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Flamengo v Coritiba/Total Goals,4,73.62,87.4602,0,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 05 September/Atletico MG v Palmeiras,19723,579467.88,635849.9504,649942.7326,5/9/14 0:52,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 05 September/Atletico MG v Palmeiras/Asian Handicap,18,685.1,1258.296,136.72,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Cup/Fixtures 05 September/Atletico MG v Palmeiras/Total Goals,7,38.6,25.8984,502.2896,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Atletico GO v Boa,13149,272303.11,239420.3662,535076.017,3/9/14 0:23,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Atletico GO v Boa/Asian Handicap,27,540.58,452.7096,540.4184,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Atletico GO v Boa/Atletico GO Total Goals,8,160.5,0,346.6464,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Atletico GO v Boa/Boa Total Goals,2,30,45.6,0,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Atletico GO v Boa/Total Goals,37,793.4,285.2726,14445.5434,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Parana v Sampaio Correa,13262,264061.91,272075.1697,465240.4364,3/9/14 0:21,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Parana v Sampaio Correa/Asian Handicap,31,685.06,898.326,486.3286,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Parana v Sampaio Correa/Total Goals,35,735.54,0,11866.9808,,Brazil, Rio de Janeiro
Brazilian Soccer/Brazilian Division 2/Fixtures 03 September/Portuguesa SP v Joinville,16366,442632.57,449006.6248,695469.7999,3/9/14 1:17,Brazil, Rio de Janeiro
